GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mortgage-service,com.bank.mortgage,MortgageApplication,5,3,0,0,2,1,1,1,1,1
mortgage-service,com.bank.mortgage.auth,AuthController,10,0,0,0,2,0,2,0,2,0
mortgage-service,com.bank.mortgage.auth,AuthServiceImpl,1,101,1,3,0,29,1,4,0,3
mortgage-service,com.bank.mortgage.events,KafkaEventPublisher,130,4,0,0,46,1,5,1,5,1
mortgage-service,com.bank.mortgage.events,NoOpEventPublisher,24,0,0,0,8,0,5,0,5,0
mortgage-service,com.bank.mortgage.events,ApplicationEvent,36,0,0,0,14,0,1,0,1,0
mortgage-service,com.bank.mortgage.util,S3PresignedUrlGenerator,31,196,2,12,4,28,2,13,0,8
mortgage-service,com.bank.mortgage.util,TraceUtil,14,3,2,0,6,1,4,1,3,1
mortgage-service,com.bank.mortgage.util,SecurityUtil,11,45,2,2,1,11,3,5,1,5
mortgage-service,com.bank.mortgage.security,CustomUserDetailsService,0,28,0,0,0,6,0,2,0,2
mortgage-service,com.bank.mortgage.security,JwtService,0,29,0,0,0,8,0,2,0,2
mortgage-service,com.bank.mortgage.security,JwtAuthenticationFilter,0,49,0,8,0,12,0,7,0,3
mortgage-service,com.bank.mortgage.security,JwtUtil,20,101,1,7,6,31,1,8,0,5
mortgage-service,com.bank.mortgage.mapper,ApplicationMapperImpl,2,39,2,2,1,10,2,2,0,2
mortgage-service,com.bank.mortgage.mapper,DocumentMapperImpl,0,62,0,2,0,15,0,3,0,2
mortgage-service,com.bank.mortgage.service.impl,DocumentServiceImpl,0,257,0,18,0,46,0,21,0,12
mortgage-service,com.bank.mortgage.service.impl,ApplicationServiceImpl,0,360,0,24,0,79,0,26,0,14
mortgage-service,com.bank.mortgage.service.impl,DecisionServiceImpl,0,76,0,0,0,24,0,4,0,4
mortgage-service,com.bank.mortgage.controller,ApplicationController,47,40,0,0,12,11,5,5,5,5
mortgage-service,com.bank.mortgage.controller,HomeController,0,27,0,0,0,3,0,3,0,3
